wine_id,taster_number,points
0,1,87
1,16,87
2,15,87
3,2,87
4,15,87
5,13,87
6,1,87
7,16,87
8,3,87
9,16,87
10,19,87
11,16,87
12,19,87
13,1,87
14,12,87
15,3,87
16,13,87
17,13,87
18,13,87
19,2,87
20,2,87
21,15,87
22,1,87
23,12,87
24,1,87
25,19,87
26,1,87
27,1,87
28,1,87
29,19,86
30,16,86
31,20,86
32,20,86
33,20,86
34,20,86
35,15,86
36,13,86
37,20,86
38,20,86
39,20,86
40,20,86
41,15,86
42,16,86
43,20,86
44,13,86
45,20,86
46,20,86
47,20,86
48,20,86
49,16,86
50,20,86
51,13,85
52,20,85
53,16,85
54,20,85
55,20,85
56,19,85
57,20,85
58,13,85
59,17,86
60,19,86
61,1,86
62,17,86
63,16,86
64,12,86
65,16,86
66,16,86
67,17,86
68,9,86
69,16,86
70,17,86
71,19,86
72,1,86
73,19,86
74,19,86
75,19,86
76,3,86
77,10,86
78,15,86
79,16,86
80,13,86
81,13,86
82,16,86
83,10,86
84,19,86
85,3,86
86,17,86
87,19,86
88,1,86
89,1,88
90,19,88
91,19,88
92,19,88
93,4,88
94,17,88
95,16,88
96,16,88
97,3,88
98,1,88
99,19,88
100,3,88
101,3,87
102,3,87
103,13,87
104,1,87
105,1,87
106,1,87
107,1,87
108,12,87
109,1,87
110,16,87
111,19,87
112,1,87
113,1,87
114,12,87
115,12,87
116,12,87
117,12,87
118,1,87
119,20,92
120,20,92
121,20,92
122,20,92
123,10,92
124,20,92
125,16,91
126,20,91
127,20,91
128,20,91
129,20,91
130,20,91
131,20,91
132,16,91
133,20,91
134,20,91
135,20,91
136,10,91
137,16,90
138,20,90
139,20,90
140,20,90
141,20,90
142,20,90
143,20,90
144,19,91
145,12,91
146,12,91
147,12,91
148,3,91
149,12,91
150,19,91
151,16,91
152,12,91
153,12,91
154,13,91
155,12,91
156,3,91
157,16,91
158,1,91
159,1,91
160,16,91
161,12,91
162,12,91
163,16,91
164,13,91
165,13,91
166,16,91
167,12,91
168,19,91
169,19,91
170,3,91
171,3,91
172,13,91
173,15,91
174,10,88
175,20,88
176,13,88
177,20,88
178,20,88
179,16,88
180,20,88
181,20,88
182,20,88
183,13,88
184,20,88
185,13,88
186,20,88
187,20,88
188,13,88
189,13,87
190,20,87
191,10,87
192,20,87
193,16,87
194,20,87
195,20,87
196,20,87
197,11,90
198,19,90
199,9,90
200,1,90
201,1,90
202,14,90
203,16,90
204,12,90
205,12,90
206,19,90
207,19,90
208,11,90
209,10,90
210,11,90
211,10,90
212,13,90
213,12,90
214,19,90
215,14,90
216,1,90
217,16,90
218,19,90
219,8,90
220,19,90
221,1,90
222,1,90
223,1,90
224,13,90
225,11,90
226,11,90
227,20,85
228,20,85
229,20,85
230,18,85
231,13,85
232,20,85
233,15,85
234,20,85
235,20,85
236,20,85
237,20,85
238,10,85
239,20,85
240,16,85
241,20,85
242,20,85
243,20,85
244,13,85
245,13,85
246,20,85
247,20,85
248,15,85
249,20,85
250,20,85
251,15,85
252,20,85
253,13,85
254,20,89
255,19,89
256,11,89
257,11,89
258,11,89
259,16,89
260,15,89
261,13,89
262,19,89
263,20,89
264,11,89
265,11,89
266,13,89
267,20,89
268,20,89
269,16,89
270,20,89
271,18,89
272,20,89
273,13,89
274,20,89
275,13,89
276,20,89
277,20,89
278,15,89
279,20,89
280,16,92
281,20,92
282,1,92
283,15,92
284,13,92
285,16,92
286,20,92
287,13,92
288,16,92
289,20,92
290,16,92
291,1,92
292,16,92
293,10,92
294,13,92
295,20,87
296,13,87
297,20,87
298,13,87
299,20,87
300,20,87
301,15,87
302,20,87
303,20,87
304,20,87
305,19,87
306,3,87
307,16,87
